n_components,accuracy,f1,precision,recall,variance_captured,pca_time,svm_train_time,svm_predict_time,total_time
5,0.7827130852340937,0.7863046044864227,0.7735191637630662,0.7995198079231692,0.013574346170972173,0.14831089973449707,0.005288600921630859,0.00032067298889160156,0.15359950065612793
10,0.8127250900360145,0.8160377358490566,0.8018539976825029,0.8307322929171669,0.022743705619911892,0.2960023880004883,0.014507532119750977,0.0003414154052734375,0.31050992012023926
25,0.8175270108043218,0.8207547169811321,0.8064889918887601,0.8355342136854742,0.04303258578154782,0.5935900211334229,0.03934621810913086,0.0008504390716552734,0.6329362392425537
50,0.826530612244898,0.8292971057294743,0.8162790697674419,0.8427370948379351,0.07051210849995064,1.3750543594360352,0.015839338302612305,0.00039005279541015625,1.3908936977386475
100,0.8403361344537815,0.8422301304863582,0.8323563892145369,0.8523409363745498,0.11743251464262884,2.8564743995666504,0.04056072235107422,0.0014181137084960938,2.8970351219177246
200,0.8457382953181273,0.849266862170088,0.8302752293577982,0.8691476590636255,0.1950451078564624,5.408434629440308,0.07897257804870605,0.0007426738739013672,5.487407207489014
500,0.8475390156062425,0.8491686460807601,0.8401880141010576,0.858343337334934,0.3676860182453924,14.612178802490234,0.22016191482543945,0.0021734237670898438,14.832340717315674
1000,0.8523409363745498,0.8547815820543093,0.8408826945412311,0.8691476590636255,0.5616274740864815,23.89376664161682,0.40927958488464355,0.0026504993438720703,24.303046226501465
2000,0.8415366146458584,0.8428571428571429,0.8358913813459268,0.8499399759903962,0.7909664514868913,53.766658544540405,1.0082142353057861,0.009221076965332031,54.77487277984619
5000,0.8343337334933973,0.8339350180505415,0.8359469240048251,0.8319327731092437,1.0,175.377690076828,2.797873020172119,0.015440940856933594,178.17556309700012
